,sentence,option1,option2,qID
315,"Justin played in emo band Texas is the Reason, of which Dennis was a big fan, so _ gave him an autograph.",Justin,Dennis,3UL5XDRDNCHNU1U5B4UDSHAMIIE85H-1
316,The water do not get to the bottom of the bowl after james poured water on the soil in it. Just the _ is wet.,bowl,soil,39O0SQZVJPLNTZMRI4RA9G7WTXTR70-2
317,The water do not get to the bottom of the bowl after james poured water on the soil in it. Just the _ is dry.,bowl,soil,39O0SQZVJPLNTZMRI4RA9G7WTXTR70-1
318,"The ears on the elf were easier to spot than the eyes, and this is because the _ are larger.",ears,eyes,382GHPVPHU5YRAJ65GS7O6K6WHO43Q-1
319,"The ears on the elf were easier to spot than the eyes, and this is because the _ are smaller.",ears,eyes,382GHPVPHU5YRAJ65GS7O6K6WHO43Q-2
324,"The cook added a bunch of salt from the bottle to the pan, so the _ was heavier.",bottle,pan,3QHITW7OYO7Q6B6ISU2UMJB89IUAQU-2
325,"The cook added a bunch of salt from the bottle to the pan, so the _ was lighter.",bottle,pan,3QHITW7OYO7Q6B6ISU2UMJB89IUAQU-1
330,The insurance agent was more concerned with the fire at the hospital versus the fire at the school. The _ fire was bigger.,hospital,school,322ZSN9Z5IY3QRH0KVYY6JO3PTG4T9-1
342,"Upon unearthing a glass vase and a copper pot, the archaeology workers loosely packed the _ because it was sturdy.",vase,pot,3IKMEYR0LY9UKUCQM81ICD4ANPE2K3-2
343,"Upon unearthing a glass vase and a copper pot, the archaeology workers tightly packed the _ because it was fragile.",vase,pot,3IKMEYR0LY9UKUCQM81ICD4ANPE2K3-1
344,Joe knew that planets are closer to the sun than stars and that the _ were much bigger.,planets,stars,3JU8CV4BRNQ92SYBMY4NF7TCI2ZPOC-2
345,Joe knew that planets are closer to the sun than stars and that the _ were much smaller.,planets,stars,3JU8CV4BRNQ92SYBMY4NF7TCI2ZPOC-1
346,"James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is smaller.",bag,box,3XJOUITW8W5AFW4YIS5B9MP9M8ITQD-1
347,"James handed a box of items for his friend to carry but feeling lazy, his friend had his eyes on the bag because the _ is bigger.",bag,box,3XJOUITW8W5AFW4YIS5B9MP9M8ITQD-2
348,"The jar was made of glass but the bottle was plastic, so the _ was more durable.",jar,bottle,335VBRURDJYN4P68RXTUW7BAKV59EF-2
349,"The jar was made of glass but the bottle was plastic, so the _ was more fragile.",jar,bottle,335VBRURDJYN4P68RXTUW7BAKV59EF-1
350,An indoor plant needs a pot and a water-can because the _ will be like rain.,pot,water-can,38XPGNCKHVEI3JLPPQYD71COMNV4V6-2
351,An indoor plant needs a pot and a water-can because the _ will not get rain.,pot,water-can,38XPGNCKHVEI3JLPPQYD71COMNV4V6-1
358,James asked for a bag if they are paying him in cash and not a check because the _ is light.,cash,check,33TGB4G0LRVUOT5A46033UL2JB5TXA-2
359,James asked for a bag if they are paying him in cash and not a check because the _ is bulky.,cash,check,33TGB4G0LRVUOT5A46033UL2JB5TXA-1
361,"Dennis gives his money to the homeless whenever he can as opposed to Aaron, because _ has a large salary.",Dennis,Aaron,3P888QFVX3SF8F0J2D7CNEVDY02OQD-1
362,"Dennis gives his money to the homeless whenever he can as opposed to Aaron, because _ has a small salary.",Dennis,Aaron,3P888QFVX3SF8F0J2D7CNEVDY02OQD-2
363,"The letters on the sign were easier to read than those on the blackboard, because the _ was larger.",blackboard,sign,307L9TDWJYQ5JTU53NV3VH2XYTRN3S-2
364,"The letters on the sign were easier to read than those on the blackboard, because the _ was smaller.",blackboard,sign,307L9TDWJYQ5JTU53NV3VH2XYTRN3S-1
367,Benjamin drank Dennis's juice when they weren't looking last night so _ was looking for the bottle.,Benjamin,Dennis,3IQ9O0AYW6XI49H8LMO28MAE1GYITH-2
368,Benjamin drank Dennis's juice when they weren't looking last night so _ was hiding the bottle.,Benjamin,Dennis,3IQ9O0AYW6XI49H8LMO28MAE1GYITH-1
369,Hunter enjoyed singing in front of large crowds but not Dennis because _ was at ease with crowds.,Hunter,Dennis,3EPG8DX9LKO80TTMXLWOE35C7PF5PT-1
370,Hunter enjoyed singing in front of large crowds but not Dennis because _ was tense with crowds.,Hunter,Dennis,3EPG8DX9LKO80TTMXLWOE35C7PF5PT-2
375,By using a knife and a board he was able to do a great job cutting all the food.  The _ had a small handle.,board,knife,3X2YVV51PU2ZWKP48K87370RTNMW19-2
376,"Justin thinks the crocodile in Peter Pan is an alligator, but when Dennis corrects him _ gets yelled at.",Justin,Dennis,3B286OTISGVOED1CH2ULHGNVKH2JAA-2
377,"Justin thinks the crocodile in Peter Pan is an alligator, but when Dennis corrects him _ gets offended.",Justin,Dennis,3B286OTISGVOED1CH2ULHGNVKH2JAA-1
380,"The hat Jeffrey got Jason for their birthday was too big, so _ kept it for themselves.",Jeffrey,Jason,3BKZLF9901D6WI3SSYSAH3HN00MQYY-1
381,"The hat Jeffrey got Jason for their birthday was too big, althought _ kept it anyway.",Jeffrey,Jason,3BKZLF9901D6WI3SSYSAH3HN00MQYY-2
382,Brett told Ian about his marriage to a smart and cute person they both know. Later _ received a nice bottle of wine to congratulate him.,Brett,Ian,32L724R85NYZ66N8O3RIVAXP5J7PI1-1
383,Brett told Ian about his marriage to a smart and cute person they both know. Later _ felt lonely and opened a nice bottle of wine to console himself.,Brett,Ian,32L724R85NYZ66N8O3RIVAXP5J7PI1-2
385,I punctured my tire and pulled over to see if I could patch it or put on the spare. The hole was big so I used the _ .,patch,spare,3HRWUH63QWGNRXGG14VW2COP07P5NE-2
386,Natalie got much bigger than Betty after _ spent a year in the gym doing strength training.,Natalie,Betty,37OPIVELUU1DTI7F94F0D5J7DCPAHI-1
387,"Megan hated the table she saw, but Emily loved it. When they left the store empty-handed, _ was disappointed.",Megan,Emily,31YWE12TE2Q7QV83R3X2YYTJT25X72-2
388,"Megan loved the table she saw, but Emily hated it. When they left the store empty-handed, _ was disappointed.",Megan,Emily,31YWE12TE2Q7QV83R3X2YYTJT25X72-1
389,We increased the output of the energy to get through the box since the _ was high.,energy,box,3T5ZXGO9DG2618DXOKUTVAQP6QIZQI-2
390,We increased the output of the energy to get through the box since the _ was low.,energy,box,3T5ZXGO9DG2618DXOKUTVAQP6QIZQI-1
391,Rachel wanted to have a barbecue and asked Christine to borrow their grill because _ had a large one.,Rachel,Christine,3X0EMNLXEPNPYN813CE1I1ZBKGFVPU-2
394,Logan only had a hamster as a pet while Hunter had a dog because _ preferred large animals.,Logan,Hunter,3BAKUKE49HAUOO8I9QY1G8SA1BV1R5-2
395,Logan only had a hamster as a pet while Hunter had a dog because _ preferred small animals.,Logan,Hunter,3BAKUKE49HAUOO8I9QY1G8SA1BV1R5-1
398,He needed to check the zoning laws of the city and county to build a pool in his backyard. The _ laws could not override the smaller area's laws.,city,county,3K8CQCU3KGFH4GV0X5I5SC13LN7NWW-2
399,He needed to check the zoning laws of the city and county to build a pool in his backyard. The _ laws overrode the larger area's laws.,city,county,3K8CQCU3KGFH4GV0X5I5SC13LN7NWW-1
404,Craig liked to play with the large cattle but not Kyle because _ found them to be foreign.,Craig,Kyle,3QMELQS6Y59PVA9FFWAIB4JR42X6RL-2
405,Craig liked to play with the large cattle but not Kyle because _ found them to be familiar.,Craig,Kyle,3QMELQS6Y59PVA9FFWAIB4JR42X6RL-1
406,"I had to develop a picture, and when I poured the solution from the jug into the pan, the _ was heavier.",jug,pan,3BA7SXOG1L4RTDRAS9JGNG3Q38WR8Z-2
407,"I had to develop a picture, and when I poured the solution from the jug into the pan, the _ was lighter.",jug,pan,3BA7SXOG1L4RTDRAS9JGNG3Q38WR8Z-1
408,Our station at the school was not as full of people as John's cart because the _ was in a bad location.,station,cart,3S8A4GJRD5HWI6P38ERS4ZW3KO96VP-1
409,Our station at the school was not as full of people as John's cart because the _ was in a good location.,station,cart,3S8A4GJRD5HWI6P38ERS4ZW3KO96VP-2
412,The woman could not find the emerald in the drawer because the _ was so small.,emerald,drawer,3XJOUITW8W5AFW4YIS5B9MP8LUWTQW-1
413,The woman could not find the emerald in the drawer because the _ was so large.,emerald,drawer,3XJOUITW8W5AFW4YIS5B9MP8LUWTQW-2
414,Samantha had an empty pantry while Sarah had a full pantry because _ needed to go to the grocery store.,Samantha,Sarah,3JMNNNO3B3ILFU67BMKL0OY49YO2W1-1
415,Samantha had an empty pantry while Sarah had a full pantry because _ just went to the grocery store.,Samantha,Sarah,3JMNNNO3B3ILFU67BMKL0OY49YO2W1-2
416,Donald grew smaller flowers than Samuel because _ worked in the garden to prepare the soil before the seeds were planted.,Donald,Samuel,3J5XXLQDHM9IRY3E5EHU5YWAFHOV3D-2
417,Donald grew bigger  flowers than Samuel because _ worked hard in the garden to prepare the soil. before the seeds were planted.,Donald,Samuel,3J5XXLQDHM9IRY3E5EHU5YWAFHOV3D-1
420,The toilet is worse than my wife's closet because the _ is a small space.,toilet,closet,33CLA8O0MKP08S1X0NPMX8KDSL8FRP-1
421,Jane knew he will need more banana to feed the children unlike the pineapple that would have been enough. The _ is small.,banana,pineapple,3T2EL38U0OYHWDDIN268YPAFZ00QXF-1
422,Jane knew he will need more banana to feed the children unlike the pineapple that would have been enough. The _ is big.,banana,pineapple,3T2EL38U0OYHWDDIN268YPAFZ00QXF-2
423,Pat wanted to wear the jacket over the sweater but the _  was too big.,jacket,sweater,3UZUVSO3P7T2B9P2G6XZ1THUKU4EMB-2
